;;DESTINATION;;;;;;;;;;;;;;;;;;;;;;;
19:30;Amstel;0;1;0;1;0;0;1;2;0;0;0;1;0;0;0;1;0;0;1;2;0;0;0;1
19:45;Amstel;1;0;0;2;0;1;0;1;1;0;1;1;1;2;1;2;2;0;1;0;0;0;0;1
20:00;Amstel;1;1;0;0;2;1;0;2;1;0;2;1;0;2;1;0;2;0;1;2;0;0;1;1
20:15;Amstel;1;0;0;2;1;1;1;0;1;0;0;1;1;1;1;0;0;0;1;2;0;0;0;0
20:30;Amstel;0;0;0;1;1;0;0;1;0;0;1;0;1;1;0;1;2;0;1;1;0;0;0;0
20:45;Amstel;1;0;0;1;1;1;0;0;0;0;2;1;1;1;1;1;1;0;1;0;0;0;0;1
21:00;Amstel;0;0;0;1;1;1;0;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;0
21:15;Amstel;1;1;0;0;1;1;0;1;1;0;2;0;1;0;1;0;1;0;0;1;1;0;0;1
21:30;Amstel;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1
21:45;Amstel;0;0;0;2;2;1;0;2;0;0;1;1;1;1;0;1;2;0;1;2;1;0;0;0
22:00;Amstel;0;1;0;2;1;1;1;1;0;0;2;1;1;2;0;1;1;0;0;0;0;1;0;2
22:15;Amstel;0;1;0;0;1;0;0;1;0;0;1;1;0;2;0;1;0;0;1;1;0;0;1;1
22:30;Amstel;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;1
22:45;Amstel;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1
23:00;Amstel;0;1;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;0;0;0;1
23:15;Amstel;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0;1
23:30;Amstel;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1
23:45;Amstel;1;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1
0:00;Amstelveenseweg;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0:15;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0:30;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0:45;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1:00;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1:15;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1:30;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1:45;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2:00;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2:15;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2:30;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2:45;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3:00;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3:15;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3:30;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3:45;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4:00;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4:15;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4:30;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4:45;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5:00;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5:15;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5:30;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5:45;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6:00;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6:15;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6:30;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6:45;Amstelveenseweg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
7:00;Amstelveenseweg;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
7:15;Amstelveenseweg;0;0;0;1;1;1;0;2;0;0;1;1;0;1;1;1;2;0;0;2;0;1;0;1
7:30;Amstelveenseweg;3;1;1;4;4;3;0;4;1;1;3;2;3;2;4;2;4;1;0;2;2;0;0;3
7:45;Amstelveenseweg;4;3;1;4;7;1;3;7;2;1;2;1;2;7;6;5;5;1;8;6;3;0;0;2
8:00;Amstelveenseweg;4;1;1;9;3;2;3;6;2;0;5;5;4;5;6;0;1;0;7;7;0;2;2;7
8:15;Amstelveenseweg;2;3;1;6;0;2;1;2;1;1;7;4;1;4;2;1;3;0;1;2;2;2;1;4
8:30;Amstelveenseweg;1;2;1;6;4;2;3;4;0;1;3;4;3;5;0;1;2;1;3;4;2;1;1;5
8:45;Amstelveenseweg;3;2;1;1;0;3;4;1;1;0;0;5;5;4;1;2;1;0;6;4;2;0;2;4
9:00;Amstelveenseweg;1;3;1;5;8;1;2;5;1;1;1;5;0;6;0;4;5;0;6;0;1;2;1;7
9:15;Amstelveenseweg;3;1;0;4;3;2;1;0;0;1;0;2;1;3;2;4;4;0;5;1;2;1;1;1
9:30;Amstelveenseweg;3;0;0;2;3;2;2;4;0;0;4;2;3;2;0;2;2;0;2;4;0;1;1;1
9:45;Amstelveenseweg;1;0;0;4;0;2;1;3;1;0;1;1;2;3;1;1;2;0;2;1;0;1;1;2
10:00;Amstelveenseweg;1;0;0;3;0;0;1;0;0;0;2;1;1;0;1;1;2;0;2;2;0;0;1;2
10:15;Amstelveenseweg;1;0;0;1;1;1;0;1;1;0;1;0;1;2;2;0;2;0;0;1;1;1;0;0
10:30;Amstelveenseweg;0;1;0;1;0;0;1;1;0;0;0;1;2;1;1;1;0;0;1;1;1;0;0;1
10:45;Amstelveenseweg;1;0;0;2;2;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;1
11:00;Amstelveenseweg;1;0;0;2;1;1;1;1;0;0;1;0;1;1;1;1;2;0;2;0;0;1;0;1
11:15;Amstelveenseweg;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;1;1;0;2;1;0;0;0;1
11:30;Amstelveenseweg;1;0;0;1;2;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;2
11:45;Amstelveenseweg;1;0;0;1;1;1;1;1;0;0;1;0;1;1;2;1;1;0;2;1;0;0;0;0
12:00;Amstelveenseweg;0;1;0;3;1;1;1;2;1;0;1;1;1;1;2;1;2;0;1;0;0;1;0;0
12:15;Amstelveenseweg;0;0;0;0;1;2;1;0;1;0;1;1;1;2;0;0;1;0;1;2;0;0;0;2
12:30;Amstelveenseweg;2;0;0;0;1;1;1;1;1;0;1;2;1;2;1;2;1;0;3;2;0;0;1;2
12:45;Amstelveenseweg;1;1;0;2;1;2;0;1;1;0;1;2;0;2;0;0;2;0;2;0;0;0;0;2
13:00;Amstelveenseweg;2;1;1;4;2;1;2;2;1;0;0;0;2;1;2;1;2;0;0;3;1;0;1;1
13:15;Amstelveenseweg;0;1;0;2;1;1;0;2;1;0;2;0;0;2;1;1;2;0;2;1;0;1;0;1
13:30;Amstelveenseweg;0;0;0;1;0;0;0;2;0;0;1;1;2;0;1;0;2;0;1;1;0;0;0;1
13:45;Amstelveenseweg;1;0;0;1;1;1;1;0;0;0;1;0;2;1;1;0;2;0;1;1;1;0;1;1
14:00;Amstelveenseweg;0;0;0;2;1;0;0;2;1;0;0;1;1;0;1;0;0;0;2;1;0;1;0;1
14:15;Amstelveenseweg;1;0;0;1;1;1;1;1;0;0;1;1;1;2;2;1;1;0;2;0;0;0;0;2
14:30;Amstelveenseweg;0;0;0;2;1;1;0;0;0;0;2;1;0;1;1;0;0;0;0;2;1;0;1;0
14:45;Amstelveenseweg;1;0;0;2;1;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;2
15:00;Amstelveenseweg;1;1;0;1;0;1;1;0;1;0;1;0;1;1;0;0;2;0;0;0;0;1;1;0
15:15;Amstelveenseweg;1;0;0;0;1;1;1;0;0;0;1;1;1;2;1;1;2;0;1;0;0;0;1;0
15:30;Amstelveenseweg;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;0;2;1;1;0;1;2
15:45;Amstelveenseweg;1;1;0;1;0;0;1;0;1;0;0;1;0;1;1;2;0;0;0;0;0;0;0;1
16:00;Amstelveenseweg;3;1;1;2;3;3;0;1;1;1;2;3;3;3;0;2;0;0;1;0;1;2;1;5
16:15;Amstelveenseweg;1;0;0;3;1;1;1;4;0;1;0;2;5;0;3;2;4;0;3;1;2;1;1;1
16:30;Amstelveenseweg;2;3;1;1;2;3;2;5;2;0;1;2;5;2;3;4;1;0;0;1;1;1;1;5
16:45;Amstelveenseweg;0;1;1;4;6;1;0;3;0;0;2;0;4;6;2;2;3;1;6;3;2;1;1;4
17:00;Amstelveenseweg;1;1;1;4;5;4;2;4;2;1;1;2;3;6;3;2;5;1;1;6;0;1;2;3
17:15;Amstelveenseweg;1;1;1;4;7;2;1;3;0;0;3;2;5;6;1;2;4;1;2;4;0;2;1;7
17:30;Amstelveenseweg;3;3;1;9;4;2;1;2;1;1;0;2;2;2;1;4;5;1;5;0;2;1;0;5
17:45;Amstelveenseweg;4;1;1;8;3;2;3;1;1;0;4;4;5;2;2;3;3;1;6;5;2;1;1;0
18:00;Amstelveenseweg;4;3;1;1;2;1;4;7;0;0;0;4;5;7;1;2;1;1;5;7;1;1;2;3
18:15;Amstelveenseweg;0;1;1;4;3;3;3;7;2;0;5;2;5;0;2;1;5;0;7;4;3;2;1;1
18:30;Amstelveenseweg;3;1;0;2;4;1;1;1;0;1;1;1;0;4;4;4;5;0;2;2;1;1;1;5
18:45;Amstelveenseweg;2;2;0;3;1;2;2;2;1;0;1;0;0;3;2;2;0;1;1;2;1;1;1;3
19:00;Amstelveenseweg;1;1;0;2;1;0;0;0;1;1;3;2;2;2;1;1;2;0;1;0;0;0;1;0
19:15;Amstelveenseweg;0;0;0;2;1;1;0;0;1;0;0;1;0;1;1;1;1;0;1;1;1;0;0;2
19:30;Amstelveenseweg;1;1;0;1;2;1;1;1;1;0;1;1;1;1;0;0;2;0;1;1;1;0;0;1
19:45;Amstelveenseweg;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;1
20:00;Amstelveenseweg;1;0;0;1;1;1;0;0;0;0;2;1;1;1;0;1;0;0;1;0;0;1;0;1
20:15;Amstelveenseweg;1;1;0;2;0;0;1;2;0;0;2;0;1;0;1;2;0;0;0;1;1;1;0;1
20:30;Amstelveenseweg;1;1;0;0;0;1;0;1;0;0;2;1;1;0;0;0;0;0;1;0;0;0;0;0
20:45;Amstelveenseweg;1;0;0;1;1;0;0;2;0;0;1;1;0;1;1;1;0;0;2;0;0;0;0;1
21:00;Amstelveenseweg;1;0;0;0;1;1;0;1;0;0;0;0;1;2;0;1;1;0;1;1;0;0;0;0
21:15;Amstelveenseweg;0;0;0;1;1;0;1;1;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1
21:30;Amstelveenseweg;1;0;0;0;1;0;1;1;0;0;1;1;1;0;1;0;2;0;0;1;0;0;0;1
21:45;Amstelveenseweg;1;1;0;1;0;1;0;2;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;0
22:00;Amstelveenseweg;1;0;0;1;1;1;1;1;0;0;0;0;1;1;1;2;0;0;2;0;0;0;0;1
22:15;Amstelveenseweg;1;0;0;2;0;1;1;2;0;0;0;1;0;0;1;1;2;0;1;1;0;1;0;0
22:30;Amstelveenseweg;0;0;0;1;1;1;0;1;0;0;1;0;1;0;0;1;1;0;1;1;0;0;0;1
22:45;Amstelveenseweg;0;0;0;1;1;0;1;0;0;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0
23:00;Amstelveenseweg;1;0;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1
23:15;Amstelveenseweg;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1
23:30;Amstelveenseweg;1;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1
23:45;Amstelveenseweg;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0:00;Buikslotermeer;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
0:15;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0
0:30;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0:45;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1:00;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1:15;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1:30;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1:45;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2:00;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2:15;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2:30;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2:45;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3:00;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3:15;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3:30;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3:45;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4:00;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4:15;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4:30;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4:45;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5:00;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5:15;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5:30;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5:45;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6:00;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6:15;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6:30;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6:45;Buikslotermeer;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7:00;Buikslotermeer;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1
7:15;Buikslotermeer;0;0;0;2;1;1;0;1;0;0;0;1;1;1;1;0;2;0;1;0;1;0;0;2
7:30;Buikslotermeer;2;1;0;5;4;2;1;3;2;0;0;3;1;0;1;1;3;1;3;3;1;0;0;2
7:45;Buikslotermeer;3;0;0;0;3;1;2;0;1;0;4;0;4;5;5;1;8;0;5;3;0;3;2;2
8:00;Buikslotermeer;2;1;0;2;2;0;3;5;1;1;5;3;0;6;6;1;1;1;1;3;1;1;2;7
8:15;Buikslotermeer;2;0;1;3;5;2;3;2;1;1;5;3;0;3;3;0;3;0;1;3;0;1;1;6
8:30;Buikslotermeer;4;1;0;8;6;3;0;2;2;1;3;1;5;7;2;4;7;1;1;7;0;2;0;6
8:45;Buikslotermeer;3;2;1;5;4;1;2;5;2;0;0;3;4;0;2;3;6;1;5;7;1;0;2;4
9:00;Buikslotermeer;0;0;1;0;0;0;4;4;2;1;7;3;2;1;7;3;8;1;8;3;2;2;2;6
9:15;Buikslotermeer;2;1;0;5;5;1;2;2;1;0;2;3;4;1;4;3;3;0;4;0;0;0;0;2
